word	types	reference
welche		[]
christen		[]
an		[]
einen		[]
wohlgestimmten		[]
orgelwercke		[]
zu		[]
lernen		[]
haben		[]
stelte		[]
für		[]
bey		[]
ubergabe		[]
und		[]
einweyhung		[]
einer		[]
neuen		[]
orgel		[]
in		[]
leubingen		[]
nach		[]
anleitung		[]
des		[]
ordentlichen		[]
evangelii		[]
vi		[]
sontage		[]
nach		[]
trinitatis		[]
aus		[]
den		[]
v		[]
matth		[]
v		[]
20‑‑‑26		[]
als		[]
den		[]
18		[]
julii		[]
anno		[]
1700		[]
in		[]
der		[]
kirche		[]
daselbst		[]
s		[]
petri		[]
und		[]
pauli		[]
christoph		[]
cuno		[]
h		[]
s		[]
p		[]
l		[]
jena		[]
mit		[]
nisiischen		[]
schrifften		[]
druckts		[]
heinrich		[]
beyer		[]
dem		[]
hochwohlgebohrnen		[]
herrn		[]
herrn		[]
friedemann		[]
von		[]
werthern		[]
auf		[]
denen		[]
graffund		[]
herrschafften		[]
beichlingen		[]
frohndorff		[]
neuenheilingen		[]
alßund		[]
hartmannsdorff		[]
etc		[]
wie		[]
auch		[]
dem		[]
hochwohlgebohrnen		[]
herrn		[]
hn		[]
joh		[]
georgen		[]
von		[]
eberstein		[]
des		[]
auch		[]
hochwohlgebohrnen		[]
herrn		[]
herrn		[]
christian		[]
ludwig		[]
von		[]
ebersteins		[]
s		[]
k		[]
maj		[]
jn		[]
pohlen		[]
und		[]
churfl		[]
durchlaucht		[]
zu		[]
sachsen		[]
wie		[]
auch		[]
hochfl		[]
anhältischen		[]
"rend""antiqua"""		[]
resp		[]
oberberg		[]
hauptmanns		[]
und		[]
obristwachtmeisters		[]
auf		[]
gehoven		[]
neuhauß		[]
passenbruch		[]
erbund		[]
gerichtherrns		[]
ingleichen		[]
derer		[]
beyden		[]
gräflichen		[]
mansfeld		[]
aemter		[]
lein		[]
u		[]
morungen		[]
jnsonders		[]
hertzgelibten		[]
hrn		[]
sohne		[]
meinen		[]
gnädigen		[]
herren		[]
daß		[]
die		[]
einigkeit		[]
eine		[]
herrl		[]
und		[]
christen		[]
wohlanständige		[]
tugend		[]
sey		[]
die		[]
hiernechst		[]
unvergleichlich		[]
grossen		[]
nutzen		[]
nach		[]
sich		[]
ziehet		[]
hat		[]
unter		[]
andern		[]
könig		[]
david		[]
in		[]
seinem		[]
137	 bibel	['Ps_137']
psal	 bibel	['Ps_137']
deutlich		[]
angeführet		[]
so		[]
setzt		[]
auch		[]
der		[]
weise		[]
haußlehrer		[]
syrach		[]
diese		[]
tugend		[]
unter		[]
die		[]
drey		[]
schöne		[]
dinge		[]
so		[]
beyde		[]
gott		[]
und		[]
menschen		[]
wohlgefallen		[]
c	 bibel	['Sir_25']
25	 bibel	['Sir_25']
welches		[]
dann		[]
ewr		[]
hochwohlgeb		[]
herrlichkeiten		[]
wohl		[]
erwogen		[]
wie		[]
solches		[]
die		[]
unter		[]
ihren		[]
gott		[]
und		[]
unterthanen		[]
