word	types	reference
das		[]
ist		[]
kurtze		[]
vnterweisung		[]
warumb		[]
vnd		[]
zu		[]
was		[]
nutz		[]
vnd		[]
ende		[]
die		[]
orgeln		[]
in		[]
christlichen		[]
kirchen		[]
beym		[]
gottesdienst		[]
gebraucht		[]
werden		[]
den		[]
20		[]
iunij		[]
anno		[]
1610		[]
alß		[]
das		[]
newe		[]
orgellwerck		[]
zu		[]
meusselwitz		[]
investirt		[]
vnd		[]
zu		[]
prob		[]
zum		[]
erstenmal		[]
geschlagen		[]
worden		[]
gehalten		[]
von		[]
m		[]
erasmo		[]
wintern		[]
ioachimico		[]
pfarren		[]
daselbsten		[]
psalm		[]
33		[]
singet	 bibel	['Ps_33-3']
dem	 bibel	['Ps_33-3']
herrn	 bibel	['Ps_33-3']
ein	 bibel	['Ps_33-3']
newes	 bibel	['Ps_33-3']
lied	 bibel	['Ps_33-3']
machts	 bibel	['Ps_33-3']
gut	 bibel	['Ps_33-3']
auff	 bibel	['Ps_33-3']
seitenspielen	 bibel	['Ps_33-3']
mit	 bibel	['Ps_33-3']
schalle	 bibel	['Ps_33-3']
psalm		[]
98		[]
lobet	 bibel	['Ps_98-5.6']
den	 bibel	['Ps_98-5.6']
herrn	 bibel	['Ps_98-5.6']
mit	 bibel	['Ps_98-5.6']
harpffen	 bibel	['Ps_98-5.6']
vnd	 bibel	['Ps_98-5.6']
psalmen	 bibel	['Ps_98-5.6']
mit	 bibel	['Ps_98-5.6']
trommeten	 bibel	['Ps_98-5.6']
vnd	 bibel	['Ps_98-5.6']
posaunen	 bibel	['Ps_98-5.6']
gedruckt		[]
zu		[]
altenburg		[]
in		[]
meissen		[]
durch		[]
johannem		[]
meuschken		[]
anno		[]
m		[]
dc		[]
x		[]
den		[]
ehrenvesten		[]
vnd		[]
hochgeachten		[]
herrn		[]
heinrich		[]
vnd		[]
caspar		[]
von		[]
clausbruch		[]
auff		[]
meuselwitz		[]
etc		[]
meinen		[]
großgünstigen		[]
herren		[]
vnd		[]
gevattern		[]
vnd		[]
förderern		[]
ehrnveste		[]
hochgeachte		[]
großgünstige		[]
herren		[]
etc		[]
wir		[]
lesen		[]
luc	 bibel	['Lk_7-1.2.3.4.5.6.7.8']
7	 bibel	['Lk_7-1.2.3.4.5.6.7.8']
von		[]
dem		[]
heydnischen		[]
hauptman		[]
zu		[]
capernaum		[]
als		[]
jm		[]
ein		[]
frommer		[]
vnd		[]
gehorsamer		[]
soldat		[]
kranck		[]
wird		[]
so		[]
machet		[]
er		[]
sich		[]
nicht		[]
allein		[]
eigener		[]
person		[]
zu		[]
fuß		[]
auff		[]
vnd		[]
reiset		[]
zu		[]
dem		[]
himlischen		[]
artzt		[]
christo		[]
jesu		[]
vnd		[]
suchet		[]
wegen		[]
seines		[]
patienten		[]
vmb		[]
gesundheit		[]
vnd		[]
gnediger		[]
hülff		[]
instendig		[]
an		[]
sonder		[]
er		[]
gebrauchet		[]
auch		[]
mittelspersonen		[]
als		[]
die		[]
obersten		[]
zu		[]
capernaum		[]
die		[]
für		[]
jhm		[]
intercedirn		[]
vnd		[]
bitten		[]
sollen		[]
welche		[]
do		[]
sie		[]
zu		[]
christo		[]
dem		[]
herrn		[]
kommen		[]
so		[]
geben		[]
sie		[]
jhm		[]
vnter		[]
andern		[]
das		[]
encomium		[]
vnd		[]
sprechen		[]
ach	 bibel	['Lk_7-4.5']
herr	 bibel	['Lk_7-4.5']
er	 bibel	['Lk_7-4.5']
ists	 bibel	['Lk_7-4.5']
wol	 bibel	['Lk_7-4.5']
werth	 bibel	['Lk_7-4.5']
daß	 bibel	['Lk_7-4.5']
du	 bibel	['Lk_7-4.5']
ihm	 bibel	['Lk_7-4.5']
helffest	 bibel	['Lk_7-4.5']
denn	 bibel	['Lk_7-4.5']
er	 bibel	['Lk_7-4.5']
hat	 bibel	['Lk_7-4.5']
vnser	 bibel	['Lk_7-4.5']
volck	 bibel	['Lk_7-4.5']
lieb	 bibel	['Lk_7-4.5']
vnd	 bibel	['Lk_7-4.5']
diese	 bibel	['Lk_7-4.5']
schule	 bibel	['Lk_7-4.5']
hat	 bibel	['Lk_7-4.5']
er	 bibel	['Lk_7-4.5']
vns	 bibel	['Lk_7-4.5']
erbawet	 bibel	['Lk_7-4.5']
mit		[]
diesen		[]
löblichen		[]
werck		[]
gibt		[]
dieser		[]
heydnische		[]
stadthalter		[]
nicht		[]
allein		[]
in		[]
genere		[]
allen		[]
menschen		[]
sondern		[]
zu		[]
förderst		[]
christlichen		[]
regenten		[]
vnd		[]
ambtsleuten		[]
eine		[]
schöne		[]
lehr		[]
vnd		[]
instruction		[]
daß		[]
sie		[]
ihnen		[]
kirch		[]
vnd		[]
schul		[]
auch		[]
sollen		[]
lassen		[]
angelegen		[]
sein		[]
vnd		[]
fürnemlich		[]
darauff		[]
sehen		[]
daß		[]
der		[]
ware		[]
gottes		[]
dienst		[]
vnd		[]
was		[]
demselben		[]
anhengig		[]
richtig		[]
möge		[]
bestellet		[]
werden		[]
in		[]
betrachtung		[]
daß		[]
es		[]
solche		[]
cleinodia		[]
sein		[]
darauff		[]
die		[]
höchste		[]
wolfart		[]
eines		[]
gantzen		[]
landes		[]
stadt		[]
vnd		[]
gemeine		[]
beruhet		[]
daß		[]
nun		[]
diesem		[]
löblichen		[]
exempel		[]
e		[]
e		[]
auch		[]
gefolget		[]
ist		[]
nicht		[]
weniger		[]
rühmens		[]
vnd		[]
lobenswerth		[]
den		[]
ob		[]
wol		[]
e		[]
e		[]
geliebter		[]
herr		[]
vater		[]
sehliger		[]
die		[]
gemeine		[]
allhier		[]
mit		[]
vielen		[]
gebäuden		[]
vnd		[]
anrichtung		[]
des		[]
niederlendischen		[]
wahren		[]
handels		[]
darauff		[]
ihm		[]
ein		[]
merckliches		[]
gegangen		[]
der		[]
hernachmals		[]
in		[]
benachbarten		[]
chur		[]
vnd		[]
fürstenthumben		[]
auch		[]
eingewurtzelt		[]
gestercket		[]
auch		[]
zu		[]
förderst		[]
vnd		[]
vor		[]
allen		[]
dingen		[]
die		[]
kirche		[]
allhier		[]
weil		[]
sie		[]
für		[]
die		[]
alte		[]
vnd		[]
newe		[]
gemeine		[]
vnd		[]
eingepfarten		[]
viel		[]
zuklein		[]
zuerweitern		[]
in		[]
willens		[]
gewesen		[]
so		[]
hat		[]
doch		[]
solchs		[]
wegen		[]
seines		[]
tödlichen		[]
abgangs		[]
wider		[]
sein		[]
verhoffen		[]
verbleiben		[]
müssen		[]
damit		[]
aber		[]
demnach		[]
seines		[]
nützliche		[]
intention		[]
disfals		[]
nicht		[]
gantz		[]
vnd		[]
gar		[]
hinterzogen		[]
bleiben		[]
möchte		[]
als		[]
haben		[]
e		[]
e		[]
mit		[]
zuzihung		[]
derselben		[]
geliebten		[]
fraw		[]
mutter		[]
vnd		[]
angewanten		[]
solchs		[]
zu		[]
werck		[]
gerichtet		[]
vnd		[]
die		[]
beschaffung		[]
gethan		[]
daß		[]
vor		[]
3		[]
jahren		[]
nicht		[]
allein		[]
eine		[]
schöne		[]
gantz		[]
newe		[]
kirche		[]
auff		[]
e		[]
e		[]
zimlichen		[]
vorschub		[]
vnd		[]
der		[]
eingepfarten		[]
gutwillige		[]
contribution		[]
erbawet		[]
worden		[]
sondern		[]
es		[]
haben		[]
auch		[]
e		[]
e		[]
zu		[]
mehrem		[]
ornat		[]
ein		[]
orgelwerck		[]
auff		[]
freywillige		[]
darleg		[]
zu		[]
ewigen		[]
gedechtnis		[]
darein		[]
verfertigen		[]
lassen		[]
vnd		[]
demnach		[]
dieselbe		[]
den		[]
20		[]
junij		[]
instehendes		[]
monats		[]
zur		[]
prob		[]
durch		[]
kunstreiche		[]
vnd		[]
erfarne		[]
organisten		[]
wie		[]
breuchlich		[]
beschlagen		[]
vnd		[]
darinnen		[]
richtig		[]
vnd		[]
excellent		[]
erfunden		[]
worden		[]
auch		[]
e		[]
e		[]
den		[]
tag		[]
zuvor		[]
von		[]
mir		[]
begehret		[]
den		[]
eingepfarten		[]
von		[]
diesem		[]
werck		[]
ein		[]
kurtze		[]
erinnerung		[]
zuthun		[]
als		[]
hab		[]
ich		[]
an		[]
stat		[]
meiner		[]
ordinari		[]
predigt		[]
gegenwertige		[]
materiam		[]
so		[]
viel		[]
in		[]
eil		[]
geschehen		[]
können		[]
tractirt		[]
welche		[]
e		[]
e		[]
ich		[]
auff		[]
begehren		[]
hiemit		[]
praesentire		[]
freundlich		[]
vnd		[]
fleissig		[]
bittende		[]
e		[]
e		[]
wollen		[]
es		[]
zu		[]
dieser		[]
gelegenheit		[]
großgünstig		[]
vnd		[]
in		[]
besten		[]
vermercken		[]
vnd		[]
auffnemen		[]
soll		[]
vnnd		[]
kan		[]
ich		[]
in		[]
meinem		[]
befohlenen		[]
amptssachen		[]
vnd		[]
sonsten		[]
e		[]
e		[]
mehr		[]
gesellige		[]
vnd		[]
nützliche		[]
dienste		[]
erweisen		[]
wil		[]
ich		[]
mich		[]
aller		[]
gebür		[]
zu		[]
jeder		[]
zeit		[]
zu		[]
bezeugen		[]
wissen		[]
thue		[]
hiemit		[]
e		[]
e		[]
göttlichen		[]
gnaden		[]
schutz		[]
befehlen		[]
sing		[]
24		[]
iunij		[]
dieses		[]
1610		[]
jahrs		[]
welches		[]
war		[]
der		[]
tag		[]
johannis		[]
des		[]
teuffers		[]
der		[]
als		[]
eine		[]
helle		[]
posaune		[]
im		[]
30		[]
jar		[]
seines		[]
alters		[]
gleich		[]
im		[]
jüdischen		[]
posaunen		[]
fest		[]
sein		[]
predigtampt		[]
angefangen		[]
numehr		[]
vor		[]
1580		[]
jahren		[]
e		[]
e		[]
w		[]
gefatter		[]
vnd		[]
an		[]
gottes		[]
wort		[]
diener		[]
m		[]
erasmus		[]
winter		[]
vnd	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
der	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
könig	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
hiskia	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
stellet	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
die	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
leviten	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
im	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
hause	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
des	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
herrn	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
mit	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
cymbaln	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
psaltern	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
vnd	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
harpffen	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
wie	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
es	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
david	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
befohlen	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
hatte	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
vnd	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
gad	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
der	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
schaner	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
des	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
königs	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
vnd	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
prophet	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
nathan	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
denn	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
es	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
war	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
des	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
herrn	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
gebot	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
durch	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
seine	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
propheten	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
vnd	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
die	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
leviten	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
stunden	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
mit	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
den	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
seitenspielen	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
david	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
vnd	 bibel	['2Chr_29-25.26.27.28.29.30.31.32.35.36']
